Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2005	158
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2004	145
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2003	129
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2002	130
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2001	120
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2000	142
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1999	127
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1998	145
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1997	167
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1996	135
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1995	127
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1994	94
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1993	89
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1992	68
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1991	83
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1990	106
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1989	125
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1988	120
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1987	101
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1986	110
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1985	102
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1984	138
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1983	106
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1982	75
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1981	79
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	1980	82
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2022	59
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2021	48
